Date,Average_Water_Level
2021-11-19,356.09
2021-11-20,367.71
2021-11-23,337.34
2021-11-24,332.58
2021-11-25,323.83
2021-11-29,328.97
2021-11-30,343.31
2021-12-01,337.13
2021-12-02,337.13
2021-12-03,460.91
2021-12-04,487.91
2021-12-05,478.04
2021-12-06,605.44
2021-12-07,602.0
2021-12-08,536.69
2021-12-09,503.0
2021-12-10,499.72
2021-12-11,482.3
2021-12-12,467.37
2021-12-13,450.1
2021-12-14,461.39
2021-12-15,539.98
2021-12-16,577.33
2021-12-17,533.85
2021-12-18,520.15
2021-12-19,504.06
2021-12-20,484.63
2021-12-27,654.17
2021-12-28,627.62
2021-12-29,713.47
2021-12-30,965.32
2021-12-31,1250.31
2022-01-01,1296.56
2022-01-02,1080.64
2022-01-03,900.05
2022-01-04,846.71
2022-01-05,919.93
2022-01-06,1092.4
2022-01-07,1127.6
2022-01-08,968.71
2022-01-09,868.52
2022-01-10,774.46
2022-01-11,750.33
2022-01-12,709.67
2022-01-13,673.35
2022-01-14,645.24
2022-01-15,611.23
2022-01-16,574.36
2022-01-17,542.34
2022-01-18,535.57
2022-01-19,552.51
2022-01-20,545.34
2022-01-21,535.33
2022-01-22,535.06
2022-01-23,524.02
2022-01-24,523.04
